id,fact
1,The first human to orbit Earth was Yuri Gagarin in 1961.
2,Apollo 11 landed the first humans on the Moon in 1969.
3,The Hubble Space Telescope was launched in 1990.
4,Mars is the most explored planet in the solar system.
5,The ISS has been continuously occupied since November 2000.
6,Voyager 1 is the farthest human-made object from Earth.
7,SpaceX is the first private company to send humans to orbit.
8,The James Webb Telescope is the successor to Hubble.
9,The Milky Way contains over 100 billion stars.
10,Black holes are regions where gravity prevents escape.
